34	-63.1623432818
112	-76.1492894011
59	-73.6534796038
34	-78.5954220404
32	-77.9419407031
50	-74.3193283867
21	-70.7096785338
88	-66.5194378725
55	-67.6604359952
54	-62.2352532841
197	-78.7987711739
180	-71.7976501547
80	-78.6874012246
118	-77.7415321395
175	-64.6214441631
19	-61.9374695048
134	-68.5560906594
96	-65.2454870203
68	-70.7009533737
109	-84.9134370028
190	-64.3006638869
135	-71.4728971885
93	-71.1776481807
84	-77.6119152604
40	-65.9974997308
31	-61.6785212576
40	-61.8238940859
98	-62.5176454802
44	-81.1749110104
60	-63.6811819093
12	-83.7485033046
74	-77.0598922965
61	-62.6917154451
77	-80.6925973095
86	-80.6291765971
104	-60.5005286756
158	-70.6070636548
