69	-85.9440192
144	-83
92	-85.80291415
68	-86.39435322
139	-77.72637213
106	-80.85043097
75	-86.54727019
127	-86.98823432
74	-77.52008725
29	-79.19319465
39	-83.56481141
9	-86.90906404
52	-81.24244198
109	-76.65331468
77	-82.41725522
33	-77.24295423
70	-86.51404578
194	-84.56581153
54	-77.81976702
73	-81
92	-82.4064207
118	-76.59932328
127	-79.8611336
158	-85.5232138
149	-83.10484527
84	-77.13994058
86	-80.5472917
143	-82.42077852
177	-82.25129522
57	-79.48000763
162	-76.70444003
14	-82.48131078
